sample,parcela,medida,n_veg_pixels,NDVI,GNDVI,NDRE,CIrededge,SAVI,EVI,VARI,TGI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity
R2_d50_b4,56,R2,65536,0.7589173316955566,0.1808212697505951,0.31341782212257385,0.932828426361084,0.6238576173782349,72.05183410644531,2.187429189682007,0.23826266825199127,0.31743842363357544,0.2490605115890503,0.058082204312086105,0.23365864157676697,0.7231677174568176,0.03345350040368968,1.624954044116022,0.965396748173299,23.47978814462604,0.6742183168729787,14.544577205867808,219.1906151417135,3.279746243659606,4.0754503863508855,1.2082912938861068,-0.46987746094211863,0.9582078984354656,0.9672205863911252,0.804396446077627,1.624954044116022,-206.9460498693319,14351.234666416412,0.6991633172359176,0.5002552395379447,0.4453793062363834,0.9575355008337564,0.4355274051859763,0.8304227692957971,0.38450641875430247,0.4453017982366558,1.3892533294055753,0.6259686737013727,0.8304284070471359,0.32508049105582437,0.4453981985155172,1.6615252937565639,0.7173020597703126,0.8304101218265083
R2_d200_b3,43,R2,65534,0.7945758700370789,0.18817289173603058,0.3764539361000061,1.2399263381958008,0.6469435095787048,-1.5574227571487427,1.881871223449707,0.22840005159378052,0.3065890967845917,0.24687248468399048,0.048729825764894485,0.23194347321987152,0.7176191806793213,0.02991967408599311,1.5864285003009724,0.9655405995515328,23.018805892580545,0.6791236475469005,14.623356031635357,218.49419910087565,3.309408708501335,4.099430136645708,1.1955551567280152,-0.4723129681916083,0.9595440911468276,0.9664292507526325,0.7893116205671026,1.5864285003009724,-194.55354785099593,13848.53816057144,0.7029460850229673,0.4994011692680614,0.4385354175524526,0.9541116786351439,0.4338231561687258,0.8325119922902077,0.3809463467103731,0.43855687021121825,1.385803337736649,0.6317842695974428,0.8325075591230975,0.31954746763232716,0.4385694764547944,1.6590531335185377,0.7253160718579992,0.8324798390078243
R2_d200_b3,42,R2,65532,0.7955386638641357,0.2140710949897766,0.37216347455978394,1.2272238731384277,0.6642583608627319,0.8479130268096924,2.22562575340271,0.23092535138130188,0.3149544298648834,0.25323641300201416,0.05121977627277374,0.23523709177970886,0.7423256635665894,0.0322294577549691,1.5699523539579539,0.9647172076621034,22.248130743214176,0.6773047335555744,15.585287944463754,239.0644869781483,3.270990710800058,4.056589820103912,1.1954304687105455,-0.47066244992199735,0.9579448400897307,0.9673321163123249,0.7906408469037487,1.5699523539579539,-337.76264452626936,14282.505282607824,0.7015499164242397,0.4961378377612493,0.436888760899862,0.9611063278069325,0.43277807765917486,0.8309683167668084,0.37765439322147076,0.43683524831935794,1.3937966240911823,0.6273055457492238,0.8309739676612371,0.3168650273848488,0.436979955178902,1.6651089584978456,0.716123200025266,0.8309495819486437
R2_d0_b1,14,R2,65488,0.6470922231674194,0.086849145591259,0.24350203573703766,0.651579737663269,0.5106411576271057,-5.749439716339111,-5.165852069854736,0.2103465497493744,0.308928906917572,0.22577126324176788,0.07990512996912003,0.23624739050865173,0.6580979824066162,0.04246093477328921,1.6017253278106824,0.9663975057078128,23.833429057714067,0.6819358400936012,11.173199907971343,157.02579634316086,3.217459499938864,3.9837519340343857,1.2012722562281242,-0.47199526828254623,0.9563795596996802,0.9669528659789237,0.7883061114937289,1.6017253278106824,337.4121155988897,14798.724355770022,0.7067665531047006,0.5300415041970648,0.4328185963149433,0.905420236619414,0.41577598532786864,0.8368267299205455,0.4230155570439326,0.4327848141319884,1.3113526010448187,0.5950008902822552,0.836831994348139,0.36703383117737987,0.4329867579580693,1.5682997632263933,0.6914903656578633,0.8367989717320021
R2_d0_b1,1,R2,65478,0.6846897602081299,0.11637399345636368,0.2671124041080475,0.7396544218063354,0.551033079624176,2.907853841781616,2.3279950618743896,0.2189190536737442,0.31266868114471436,0.22610649466514587,0.07656501978635788,0.25055253505706787,0.6642925143241882,0.03373585513868754,1.657058507781488,0.9643880332548822,23.265473086232902,0.6721796526094381,11.89004677554213,165.6378388336164,3.2741890123048787,4.072589113132299,1.2173300459336247,-0.46286847357930916,0.9560023116348026,0.9647193707614349,0.8132428494739202,1.657058507781488,247.07913574069278,13638.711702365234,0.6979811656271204,0.4986580259612666,0.4550280689367422,0.9646053314964111,0.43590013578218423,0.8272110261562717,0.3860435834732597,0.45512921173272713,1.3926568098839023,0.62071532832583,0.8271826002555447,0.3286022415711689,0.4550846633197929,1.6593809225405116,0.7153560471961266,0.8271966784797598
R2_d100_b3,41,R2,65526,0.763098955154419,0.1693844199180603,0.33554941415786743,1.029998779296875,0.6128358244895935,1.6050691604614258,1.935603380203247,0.2248784452676773,0.30523285269737244,0.2449410855770111,0.0540018305182457,0.22409042716026306,0.7084425091743469,0.03776573067561341,1.6367042059280346,0.967089548728343,24.866024964603042,0.6785801141379308,13.798628667725419,208.85791866965627,3.2615264561592627,4.045704432664552,1.2067762769732922,-0.4737386879464046,0.9585687269214116,0.9679399895487147,0.7970964529219027,1.6367042059280346,-93.28391823839047,14955.819505697262,0.7032725256299008,0.5069401597609969,0.4466487817068143,0.9450828714144466,0.42478798798767425,0.8325583037125404,0.39363271894613283,0.4467500201908289,1.3673707372884532,0.6119122241214265,0.8325483051908589,0.3354468513151754,0.44687887357529266,1.6318742632501406,0.704108443440992,0.8325595373086541
R2_d400_b2,16,R2,65536,0.8044286370277405,0.2563609182834625,0.40839049220085144,1.4463902711868286,0.6720969676971436,0.4881129562854767,1.8357679843902588,0.20702940225601196,0.30368930101394653,0.25304901599884033,0.04962847754359245,0.22161537408828735,0.7349644303321838,0.03088248191630791,1.4974034926455615,0.9670848940754069,22.746448028421447,0.6828680458810739,15.494477634788426,238.49752269670054,3.287547878480699,4.058671480083131,1.1744144563379362,-0.47690088033451633,0.9598243329898629,0.969065150824425,0.7696155024502107,1.4974034926455615,-315.48867067126423,14519.836985399856,0.7054328940770647,0.5049096910176107,0.42084865196078436,0.9405380991596168,0.4219898761613927,0.8360538364651416,0.3875188800428543,0.4209045458026961,1.3649205830049285,0.6196804315960768,0.8360500695720996,0.32685945356137736,0.42108410330277946,1.6333371908173628,0.7118179377257641,0.8360219969860051
R2_d400_b3,44,R2,65520,0.8012645244598389,0.21332228183746338,0.40880754590034485,1.4533554315567017,0.6632802486419678,-6.211546897888184,3.363987684249878,0.21778053045272827,0.3069310784339905,0.252319872379303,0.04869183525443077,0.23473858833312988,0.7391725182533264,0.034501436667047164,1.3232319362487726,0.9714447584189804,23.169685544024127,0.7055764055104499,15.42645774268628,239.37880474217687,3.2599753216205363,3.9705116010995014,1.125348262244792,-0.4996542410194484,0.9638277561184806,0.9730618467335466,0.7044747528917941,1.3232319362487726,-338.05766628703975,14860.948599348858,0.7256603489599451,0.5333733853028351,0.3776030207500976,0.8784577897973591,0.39730303617585916,0.8492919213654694,0.41719881101835843,0.37746529751695496,1.278963311198225,0.5974283180671637,0.849286211917428,0.35521130960814684,0.37741944310421904,1.5329833388494514,0.695258107628045,0.8492989999681337
R2_d400_b2,27,R2,65536,0.7922205328941345,0.23999008536338806,0.4064384996891022,1.4251203536987305,0.6431286334991455,1.2203291654586792,1.8420897722244263,0.19755849242210388,0.290776789188385,0.24735060334205627,0.049195751547813416,0.21031656861305237,0.7126005291938782,0.038707193347423764,1.4129901960770184,0.9710203742696368,24.379027685238555,0.7003035354634156,14.297257965671978,218.14467113507752,3.2500162017742364,3.9770988764423088,1.1487370506753085,-0.4960785808280284,0.9630520827034054,0.9724146387623257,0.727175245097312,1.4129901960770184,-186.8180734166694,14997.269464879908,0.7216680617552307,0.5350291503078854,0.39492272603485845,0.8809447438591123,0.3954150394210235,0.8464542625499274,0.42247410669471297,0.3949446784790306,1.2798343559399958,0.5877954669226928,0.8464390134236566,0.3631212929535801,0.3949715636254501,1.5319257915200521,0.6832004016700823,0.8464020173390536
R2_d0_b4,55,R2,65498,0.6935198903083801,0.10064809024333954,0.2853902280330658,0.8209737539291382,0.5441908836364746,0.10680685937404633,2.4882495403289795,0.21670205891132355,0.30474844574928284,0.23147453367710114,0.06743228435516357,0.2330114096403122,0.6678711175918579,0.03820015089221837,1.6776354619371392,0.9653803549875196,24.229530101517923,0.6800151452151401,11.960739224737194,171.0658997047157,3.25296024497154,4.039679432435189,1.2152910876268763,-0.4711585274737126,0.9576437485484541,0.9660594831577589,0.8012356183065855,1.6776354619371392,226.4812257085535,14516.033783874092,0.7054170814040274,0.5178915969095104,0.4536864666485204,0.9303747536489906,0.4202873179030718,0.8329094193344078,0.4089859699642631,0.45370651625700764,1.3455257792353117,0.5998705369356288,0.8328840411107512,0.35287963516929816,0.45378549344995706,1.605305088199097,0.6923078393634465,0.8328631457688656
