feature,wavelength_nm,vip
glcm_variance,,1.5434393667009394
glcm_cluster_prominence,,1.4351204690173334
glcmw7_correlation,,1.3418953510706073
glcm_cluster_shade,,1.2479183910136096
glcm_sum_average,,1.156676764187719
glcm_diff_entropy,,1.1419741946457127
glcmw5_correlation,,1.1306384875541244
glcmw3_correlation,,1.0004572905787472
glcm_asm,,0.9605751555464797
glcm_contrast,,0.9581381512929417
glcm_inertia,,0.9581381512929417
glcmw3_contrast,,0.9449598207369792
glcmw5_contrast,,0.9441217746341491
glcmw7_contrast,,0.9436692419298978
glcm_imc1,,0.9337572448886804
glcm_entropy,,0.9239301159873968
glcm_dissimilarity,,0.9131656424308787
glcm_idm,,0.8986851661660122
glcmw7_homogeneity,,0.8982706734120979
glcmw5_homogeneity,,0.8972264039500942
glcmw3_homogeneity,,0.8959784442653493
glcm_homogeneity,,0.8948817947778532
glcm_sum_entropy,,0.8914690798893019
glcmw7_entropy,,0.890987348719537
glcmw5_asm,,0.8863713919973444
glcmw7_asm,,0.883952165277035
glcmw5_entropy,,0.8826405766592461
glcmw3_asm,,0.8825388981081725
glcm_mcc,,0.8820589049127138
glcmw3_entropy,,0.8818925184090607
glcm_imc2,,0.8648568552452698
glcm_correlation,,0.8566256875084114
glcm_sum_variance,,0.7153723770037581
