safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,119,0,2,glcm_contrast,2.82352
2023_2024,V6,119,0,2,glcm_correlation,0.91257
2023_2024,V6,119,0,2,glcm_variance,16.1474
2023_2024,V6,119,0,2,glcm_idm,0.528841
2023_2024,V6,119,0,2,glcm_sum_average,15.4148
2023_2024,V6,119,0,2,glcm_sum_variance,206.549
2023_2024,V6,119,0,2,glcm_sum_entropy,3.3822
2023_2024,V6,119,0,2,glcm_entropy,4.55691
2023_2024,V6,119,0,2,glcm_diff_entropy,1.43384
2023_2024,V6,119,0,2,glcm_imc1,-0.325233
2023_2024,V6,119,0,2,glcm_imc2,0.910848
2023_2024,V6,119,0,2,glcm_mcc,0.916192
2023_2024,V6,119,0,2,glcm_dissimilarity,1.23756
2023_2024,V6,119,0,2,glcm_inertia,2.82352
2023_2024,V6,119,0,2,glcm_cluster_shade,-93.9792
2023_2024,V6,119,0,2,glcm_cluster_prominence,8018.22
2023_2024,V6,119,0,2,glcm_homogeneity,0.574881
2023_2024,V6,119,0,2,glcmw3_asm,0.329754
2023_2024,V6,119,0,2,glcmw3_contrast,0.742089
2023_2024,V6,119,0,2,glcmw3_entropy,1.3234
2023_2024,V6,119,0,2,glcmw3_correlation,0.607881
2023_2024,V6,119,0,2,glcmw3_homogeneity,0.737901
2023_2024,V6,119,0,2,glcmw5_asm,0.208782
2023_2024,V6,119,0,2,glcmw5_contrast,0.744122
2023_2024,V6,119,0,2,glcmw5_entropy,1.88471
2023_2024,V6,119,0,2,glcmw5_correlation,0.744714
2023_2024,V6,119,0,2,glcmw5_homogeneity,0.73749
2023_2024,V6,119,0,2,glcmw7_asm,0.156912
2023_2024,V6,119,0,2,glcmw7_contrast,0.746052
2023_2024,V6,119,0,2,glcmw7_entropy,2.21405
2023_2024,V6,119,0,2,glcmw7_correlation,0.797816
2023_2024,V6,119,0,2,glcmw7_homogeneity,0.736993
2023_2024,V6,119,0,2,rgb_glcm_asm,0.0136428
2023_2024,V6,119,0,2,rgb_glcm_contrast,2.79355
2023_2024,V6,119,0,2,rgb_glcm_correlation,0.904602
2023_2024,V6,119,0,2,rgb_glcm_variance,14.6415
2023_2024,V6,119,0,2,rgb_glcm_idm,0.529465
2023_2024,V6,119,0,2,rgb_glcm_sum_average,14.455
2023_2024,V6,119,0,2,rgb_glcm_sum_variance,179.111
2023_2024,V6,119,0,2,rgb_glcm_sum_entropy,3.34922
2023_2024,V6,119,0,2,rgb_glcm_entropy,4.53207
2023_2024,V6,119,0,2,rgb_glcm_diff_entropy,1.42543
2023_2024,V6,119,0,2,rgb_glcm_imc1,-0.314581
2023_2024,V6,119,0,2,rgb_glcm_imc2,0.903224
2023_2024,V6,119,0,2,rgb_glcm_mcc,0.906269
2023_2024,V6,119,0,2,rgb_glcm_dissimilarity,1.23011
2023_2024,V6,119,0,2,rgb_glcm_inertia,2.79355
2023_2024,V6,119,0,2,rgb_glcm_cluster_shade,-54.4512
2023_2024,V6,119,0,2,rgb_glcm_cluster_prominence,7044.23
2023_2024,V6,119,0,2,rgb_glcm_homogeneity,0.574426
2023_2024,V6,119,0,2,rgb_glcmw3_asm,0.325428
2023_2024,V6,119,0,2,rgb_glcmw3_contrast,0.728503
2023_2024,V6,119,0,2,rgb_glcmw3_entropy,1.33715
2023_2024,V6,119,0,2,rgb_glcmw3_correlation,0.542701
2023_2024,V6,119,0,2,rgb_glcmw3_homogeneity,0.74181
2023_2024,V6,119,0,2,rgb_glcmw5_asm,0.206312
2023_2024,V6,119,0,2,rgb_glcmw5_contrast,0.734961
2023_2024,V6,119,0,2,rgb_glcmw5_entropy,1.89743
2023_2024,V6,119,0,2,rgb_glcmw5_correlation,0.69349
2023_2024,V6,119,0,2,rgb_glcmw5_homogeneity,0.740438
2023_2024,V6,119,0,2,rgb_glcmw7_asm,0.154477
2023_2024,V6,119,0,2,rgb_glcmw7_contrast,0.740038
2023_2024,V6,119,0,2,rgb_glcmw7_entropy,2.2246
2023_2024,V6,119,0,2,rgb_glcmw7_correlation,0.763474
2023_2024,V6,119,0,2,rgb_glcmw7_homogeneity,0.73928
2023_2024,V6,123,0,3,NDVI,0.4746
2023_2024,V6,123,0,3,GNDVI,0.232115
2023_2024,V6,123,0,3,NDRE,0.0908494
2023_2024,V6,123,0,3,CIrededge,0.201789
2023_2024,V6,123,0,3,SAVI,0.467601
2023_2024,V6,123,0,3,EVI,0.655904
2023_2024,V6,123,0,3,VARI,0.369661
2023_2024,V6,123,0,3,TGI,0.239845
2023_2024,V6,123,0,3,spec_mean,0.434916
2023_2024,V6,123,0,3,spec_std,0.231034
2023_2024,V6,123,0,3,spec_p10,0.16593
2023_2024,V6,123,0,3,spec_p50,0.411748
2023_2024,V6,123,0,3,spec_p90,0.762762
2023_2024,V6,123,0,3,glcm_asm,0.011624
