safra,estagio,parcela,dose,bloco,NDVI,GNDVI,NDRE,CIrededge,SAVI,EVI,VARI,TGI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity,rgb_glcm_asm,rgb_glcm_contrast,rgb_glcm_correlation,rgb_glcm_variance,rgb_glcm_idm,rgb_glcm_sum_average,rgb_glcm_sum_variance,rgb_glcm_sum_entropy,rgb_glcm_entropy,rgb_glcm_diff_entropy,rgb_glcm_imc1,rgb_glcm_imc2,rgb_glcm_mcc,rgb_glcm_dissimilarity,rgb_glcm_inertia,rgb_glcm_cluster_shade,rgb_glcm_cluster_prominence,rgb_glcm_homogeneity,rgb_glcmw3_asm,rgb_glcmw3_contrast,rgb_glcmw3_entropy,rgb_glcmw3_correlation,rgb_glcmw3_homogeneity,rgb_glcmw5_asm,rgb_glcmw5_contrast,rgb_glcmw5_entropy,rgb_glcmw5_correlation,rgb_glcmw5_homogeneity,rgb_glcmw7_asm,rgb_glcmw7_contrast,rgb_glcmw7_entropy,rgb_glcmw7_correlation,rgb_glcmw7_homogeneity
2023_2024,V6,71,300,1,0.512795,0.369135,0.134039,0.314645,0.501172,0.653852,0.253257,0.150928,0.394731,0.235412,0.13561,0.333094,0.747233,0.0122561,3.27501,0.889623,14.8355,0.495649,16.2699,222.939,3.35201,4.60193,1.4915,-0.288562,0.887774,0.890075,1.36204,3.27501,-135.198,7153.82,0.548103,0.29529,0.84026,1.40504,0.645686,0.716167,0.177181,0.835193,1.99038,0.759591,0.717047,0.131386,0.830109,2.32128,0.798047,0.717913,0.0184124,2.129,0.905455,11.2592,0.568832,12.0082,119.787,3.24008,4.29751,1.31489,-0.332069,0.905179,0.906061,1.06465,2.129,103.337,5219.79,0.605917,0.349117,0.584989,1.25377,0.522106,0.767111,0.226081,0.581176,1.76786,0.686749,0.767788,0.174389,0.579568,2.05704,0.754164,0.768264
2023_2024,V6,114,300,2,0.538442,0.272431,0.146512,0.351208,0.504603,0.805226,0.465814,0.192127,0.373548,0.219332,0.127,0.332593,0.686175,0.0134207,2.49112,0.920019,15.5732,0.548676,15.0142,195.143,3.38059,4.50245,1.38387,-0.342381,0.91887,0.920813,1.15497,2.49112,-39.4537,7525.67,0.59102,0.337386,0.667,1.30329,0.594895,0.750371,0.213399,0.668785,1.8646,0.746385,0.749787,0.160132,0.66833,2.19633,0.802631,0.749825,0.0171671,2.30875,0.902621,11.8544,0.56048,12.7139,134.405,3.26423,4.35805,1.34678,-0.325839,0.903691,0.903854,1.10406,2.30875,48.3377,5395.41,0.599202,0.341946,0.628346,1.28261,0.527314,0.761451,0.220526,0.626226,1.81354,0.685958,0.761782,0.168838,0.624885,2.11471,0.751717,0.761894
2023_2024,V6,125,300,3,0.525639,0.243181,0.134426,0.31715,0.489251,0.875212,0.494027,0.198133,0.379108,0.215593,0.129943,0.343459,0.688078,0.0138555,2.37129,0.92587,15.9942,0.558794,14.7202,190.093,3.38492,4.48079,1.36493,-0.35395,0.924346,0.927732,1.11985,2.37129,-39.4708,7807.19,0.599355,0.355543,0.638486,1.26099,0.570971,0.757408,0.232218,0.641764,1.80295,0.727464,0.756623,0.176463,0.644665,2.12941,0.791665,0.755867,0.0184842,2.21697,0.902895,11.4153,0.56854,12.3333,126.121,3.24057,4.31253,1.33164,-0.328089,0.903299,0.903353,1.07663,2.21697,74.5293,5360.79,0.605878,0.356427,0.598628,1.24441,0.508453,0.768317,0.23441,0.596962,1.75795,0.669978,0.768577,0.181175,0.596789,2.05181,0.738783,0.768559
2023_2024,V6,127,300,4,0.525743,0.254617,0.142632,0.340929,0.494454,0.829934,0.471179,0.197779,0.380079,0.218157,0.13429,0.33813,0.690705,0.0122272,2.94706,0.905953,15.668,0.511867,15.3692,203.49,3.37903,4.5801,1.4466,-0.313174,0.904123,0.906906,1.2862,2.94706,-78.5698,7661.71,0.560719,0.305106,0.769826,1.37923,0.642129,0.726408,0.184534,0.769037,1.96172,0.769773,0.726475,0.135176,0.767574,2.30178,0.814097,0.726881,0.0158824,2.55616,0.894878,12.1581,0.543007,13.4364,149.195,3.28164,4.43004,1.38755,-0.309232,0.895652,0.895319,1.17082,2.55616,20.0558,5488.29,0.58506,0.325455,0.678095,1.32477,0.544884,0.74974,0.205312,0.676168,1.87129,0.698157,0.750099,0.15482,0.674338,2.18295,0.761333,0.750358
2023_2024,V6,85,400,1,0.527024,0.304278,0.139668,0.331064,0.499492,0.74637,0.388869,0.177215,0.378093,0.219808,0.129627,0.33588,0.696788,0.0145535,2.48704,0.904723,13.0516,0.545613,15.1709,190.074,3.32381,4.46093,1.37833,-0.323039,0.905921,0.906275,1.15785,2.48704,-26.8254,6002.51,0.587513,0.330136,0.669484,1.30555,0.599527,0.749744,0.207112,0.666929,1.85319,0.738117,0.750275,0.156403,0.664999,2.16361,0.786666,0.750487,0.0182076,2.20929,0.902449,11.3237,0.563721,11.9471,118.926,3.23845,4.31261,1.32822,-0.325882,0.901907,0.902789,1.08454,2.20929,108.783,5336.36,0.601558,0.3461,0.600035,1.26553,0.519162,0.765873,0.223723,0.597512,1.78444,0.679837,0.766164,0.171876,0.596037,2.07378,0.746829,0.76636
2023_2024,V6,113,400,2,0.526666,0.279287,0.140192,0.331763,0.50256,0.829675,0.430295,0.195109,0.391921,0.227129,0.136768,0.345787,0.723975,0.0134524,2.60461,0.917376,15.7618,0.539581,16.0135,220.321,3.36922,4.50448,1.40065,-0.335903,0.915276,0.921061,1.18809,2.60461,-141.436,8019.83,0.583523,0.329327,0.696029,1.32029,0.603895,0.744328,0.206568,0.698764,1.88352,0.747906,0.743816,0.153741,0.700031,2.21562,0.803619,0.743472,0.0178835,2.12728,0.91003,11.8221,0.57035,12.828,136.654,3.2628,4.32056,1.31425,-0.33866,0.910059,0.9105,1.0616,2.12728,41.6405,5466.71,0.606984,0.351469,0.584503,1.25413,0.511125,0.769474,0.228806,0.584427,1.77478,0.676276,0.769427,0.175482,0.58374,2.07235,0.747586,0.76947
2023_2024,V6,124,400,3,0.538481,0.234311,0.143725,0.342942,0.500916,0.923559,0.533798,0.208453,0.38071,0.221899,0.126735,0.337888,0.699781,0.0137393,2.46638,0.925346,16.5187,0.550937,15.4509,209.213,3.38426,4.49273,1.37784,-0.349229,0.922263,0.927772,1.14723,2.46638,-117.622,8446.44,0.592277,0.346258,0.656428,1.27785,0.59055,0.755579,0.223643,0.657798,1.82772,0.738549,0.755328,0.169591,0.658325,2.15628,0.798893,0.755222,0.0163016,2.42034,0.90353,12.5445,0.551688,12.7142,136.648,3.28602,4.40073,1.3662,-0.323694,0.904011,0.904454,1.13557,2.42034,48.3298,5787.44,0.592492,0.337948,0.645297,1.29159,0.538434,0.756948,0.21631,0.641979,1.82778,0.696678,0.757502,0.164533,0.63998,2.13412,0.76222,0.757974
2023_2024,V6,128,400,4,0.524392,0.234065,0.143971,0.345086,0.493316,0.898444,0.499046,0.209739,0.38473,0.214948,0.138349,0.351203,0.683211,0.0129099,2.74035,0.910915,15.3806,0.535455,14.8864,191.229,3.37782,4.54499,1.42136,-0.325283,0.910444,0.911604,1.21342,2.74035,-28.84,7379.82,0.579993,0.326805,0.719858,1.33128,0.606196,0.741852,0.204615,0.720715,1.90215,0.749016,0.741462,0.15318,0.720344,2.2375,0.801337,0.741424,0.0165059,2.35703,0.903355,12.1942,0.553912,13.1136,143.124,3.27974,4.38799,1.35646,-0.323731,0.903536,0.903943,1.12443,2.35703,28.4693,5546.39,0.594091,0.337699,0.631792,1.2947,0.529692,0.758595,0.216004,0.630843,1.8318,0.686718,0.758613,0.164782,0.630127,2.13567,0.752328,0.758723
2023_2024,V8,1,0,1,0.570343,0.241411,0.128384,0.303607,0.521632,1.34169,0.546298,0.231471,0.365885,0.234116,0.105943,0.311433,0.714733,0.0160607,1.80175,0.948528,17.5023,0.604469,14.4301,189.873,3.39993,4.34043,1.25752,-0.414646,0.946961,0.950151,0.955473,1.80175,-40.763,8983.72,0.636748,0.397077,0.506958,1.15506,0.540703,0.789226,0.271026,0.507974,1.65883,0.718903,0.788956,0.210579,0.508688,1.96951,0.796421,0.788715,0.0148971,2.7253,0.904145,14.2157,0.547613,12.7273,142.417,3.33156,4.48744,1.41729,-0.321645,0.906051,0.906882,1.18443,2.7253,71.343,6880.88,0.589716,0.335955,0.71405,1.32111,0.520554,0.75123,0.217189,0.713957,1.873,0.684834,0.751361,0.165774,0.714454,2.1915,0.757385,0.751369
2023_2024,V8,119,0,2,0.627842,0.171996,0.163586,0.401419,0.556571,0.547994,0.762604,0.277686,0.351918,0.237015,0.0949575,0.298608,0.703501,0.0213369,2.14785,0.949863,21.4197,0.609404,13.1294,178.964,3.36041,4.28455,1.33085,-0.418014,0.946621,0.951305,0.998824,2.14785,92.1379,11377.3,0.644411,0.415674,0.577234,1.14157,0.54115,0.786488,0.294183,0.577694,1.64344,0.719384,0.786313,0.233644,0.578034,1.95718,0.804311,0.786188,0.0163147,2.68891,0.91154,15.1985,0.560408,12.5747,143.496,3.33402,4.4632,1.41406,-0.335349,0.913461,0.916144,1.15505,2.68891,57.9436,7567.98,0.6012,0.3457,0.703919,1.3074,0.523103,0.757486,0.226786,0.704151,1.86055,0.689463,0.757501,0.173837,0.704128,2.18294,0.764777,0.757499
2023_2024,V8,123,0,3,0.631555,0.178931,0.170605,0.420969,0.563481,0.682048,0.764333,0.278708,0.353774,0.237516,0.0922423,0.308127,0.705109,0.0232228,2.08433,0.953445,22.3857,0.610539,12.9171,179.025,3.34809,4.24752,1.3199,-0.425074,0.948166,0.954834,0.987346,2.08433,123.904,12243.8,0.645066,0.425585,0.56187,1.12381,0.528473,0.789011,0.307291,0.562206,1.616,0.703562,0.788925,0.248508,0.562529,1.92325,0.788031,0.788803,0.0169385,2.50783,0.914391,14.6469,0.568512,12.0604,132.488,3.3192,4.41909,1.38714,-0.341554,0.915428,0.916584,1.11676,2.50783,103.262,7427.49,0.607811,0.357642,0.661685,1.27566,0.503519,0.764324,0.238309,0.661243,1.81311,0.673848,0.764414,0.183971,0.661503,2.12879,0.751586,0.764325
