sample,Biomassa,Produtividade,CHL_total
V13_d200_b3,6613.333333333333,8556.34200443638,47.43333333333334
V13_d100_b3,5573.333333333333,7006.03448275862,42.975
V13_d0_b3,1493.333333333333,3460.375075620085,36.30833333333334
V13_d400_b3,5066.666666666667,8212.695454074761,50.44166666666666
V13_d300_b3,5866.666666666667,9623.665845648606,47.90833333333333
V13_d50_b3,2560.0,4343.687985067296,41.63333333333333
V13_d300_b4,6666.666666666667,6225.083918217882,46.53333333333333
V13_d400_b4,5600.0,7968.954357772569,46.825
V13_d100_b4,5120.0,7151.896551724139,46.40000000000001
V13_d50_b4,2613.333333333333,5558.620689655173,39.60833333333333
V13_d0_b4,2773.333333333333,3580.229885057471,36.70833333333333
V13_d200_b4,6880.0,8197.24923862855,48.79999999999999
V6_d0_b1,350.9333333333333,3611.6091954023,34.61818181818182
V6_d50_b1,557.8666666666668,6226.848839731078,38.49
V6_d100_b1,461.3333333333333,7427.776020246757,41.56666666666667
V6_d200_b1,640.0,7829.077353215283,40.13333333333333
V6_d300_b1,410.9333333333333,7888.039763901832,40.03333333333334
V6_d400_b1,524.5333333333334,5697.835766801285,40.35833333333333
V6_d400_b2,538.6666666666666,5156.342182890856,39.78333333333333
V6_d300_b2,532.0,7866.053639846744,39.18333333333334
V6_d200_b2,601.8666666666667,9722.464206493243,41.35
V6_d100_b2,471.4666666666667,7809.19540229885,41.55
V6_d50_b2,422.1333333333333,3886.053639846744,36.56666666666666
V6_d0_b2,223.7333333333333,2791.046581972172,32.225
V6_d200_b3,648.7999999999998,8556.34200443638,41.79166666666666
V6_d100_b3,454.6666666666667,7006.03448275862,40.8
V6_d0_b3,340.2666666666667,3460.375075620085,31.45
V6_d400_b3,549.3333333333334,8212.695454074761,39.09166666666667
V6_d300_b3,699.2,9623.665845648606,38.39166666666667
V6_d50_b3,361.6,4343.687985067296,41.30833333333333
V6_d300_b4,800.5333333333334,6225.083918217882,38.975
V6_d400_b4,803.2,7968.954357772569,36.2
V6_d100_b4,865.8666666666667,7151.896551724139,40.90833333333334
V6_d50_b4,609.8666666666667,5558.620689655173,41.51666666666667
V6_d0_b4,451.4666666666667,3580.229885057471,29.59166666666667
V6_d200_b4,677.8666666666668,8197.24923862855,37.675
V8_d0_b1,1182.133333333333,3611.6091954023,27.2
V8_d50_b1,1649.6,6226.848839731078,36.11666666666666
V8_d100_b1,2173.066666666667,7427.776020246757,41.29166666666666
V8_d200_b1,2781.333333333333,7829.077353215283,41.05833333333333
V8_d300_b1,2954.666666666667,7888.039763901832,35.08333333333334
V8_d400_b1,2186.666666666667,5697.835766801285,26.8
V8_d400_b2,2254.400000000001,5156.342182890856,42.0
V8_d300_b2,2316.533333333333,7866.053639846744,39.74166666666667
V8_d200_b2,1963.466666666667,9722.464206493243,47.04166666666668
V8_d100_b2,2462.666666666667,7809.19540229885,48.83333333333334
V8_d50_b2,1586.933333333333,3886.053639846744,39.99166666666667
V8_d0_b2,817.8666666666667,2791.046581972172,33.10000000000001
V8_d200_b3,2594.666666666667,8556.34200443638,46.85833333333333
V8_d100_b3,1873.333333333333,7006.03448275862,46.05833333333334
V8_d0_b3,865.8666666666667,3460.375075620085,33.45
V8_d400_b3,2768.0,8212.695454074761,38.29166666666666
V8_d300_b3,2561.866666666666,9623.665845648606,45.23333333333333
V8_d50_b3,872.2666666666667,4343.687985067296,46.31666666666666
V8_d300_b4,3276.8,6225.083918217882,41.60833333333333
V8_d400_b4,2656.8,7968.954357772569,41.225
V8_d100_b4,2372.266666666666,7151.896551724139,43.45833333333334
V8_d50_b4,1696.266666666667,5558.620689655173,40.1
V8_d0_b4,1331.466666666667,3580.229885057471,32.24166666666667
V8_d200_b4,2726.4,8197.24923862855,47.26666666666666
